Zip Code,Population,Longitude,Latitude,Frequency
90001,54492,-118.24902,33.973616,4
90002,44586,-118.246978,33.949255,4
90003,58198,-118.272783,33.964131,5
90004,67852,-118.310715,34.076259,5
90005,43019,-118.30742,34.059281,4
90006,62784,-118.293953,34.048013,5
90007,45025,-118.28515,34.027337,5
90008,30852,-118.346766,34.008293,5
90010,1957,-118.315709,34.062125,4
90011,101215,-118.258681,34.00709,5
90012,30596,-118.238728,34.065875,5
90013,9732,-118.240413,34.044639,5
90014,3524,-118.251977,34.043144,4
90015,15140,-118.266293,34.039224,5
90016,46984,-118.354338,34.028331,4
90017,20692,-118.264495,34.052842,4
90018,47143,-118.317236,34.028735,5
90019,67520,-118.33846,34.049841,4
90020,42394,,,0
90021,3012,-118.239504,34.029043,5
90022,68701,-118.156582,34.02381,5
90023,47487,-118.200577,34.017697,5
90024,44150,-118.435479,34.066303,5
90025,41175,-118.446333,34.046174,5
90026,73686,-118.263804,34.078991,5
90027,48727,-118.295647,34.127194,5
90028,30568,-118.326843,34.099869,6
90029,41713,-118.294824,34.089953,5
90031,38415,-118.206617,34.085807,5
90032,46960,-118.177576,34.078821,5
90033,49431,-118.210946,34.050198,5
90034,58218,-118.399613,34.030578,5
90035,27799,-118.383843,34.051809,5
90036,32901,-118.349191,34.070291,5
90037,56709,-118.287596,34.002642,5
90038,32562,-118.327168,34.088017,5
90039,29310,-118.259595,34.110845,5
90040,9805,-118.149953,33.994524,5
90041,27866,-118.207607,34.137412,5
90042,64672,-118.192754,34.11572,5
90043,44764,-118.334081,33.988543,5
90044,87383,-118.292061,33.952714,5
90045,39334,-118.402447,33.954017,5
90046,49839,-118.362081,34.108455,5
90047,47107,-118.308441,33.958149,5
90048,21739,-118.37267,34.072945,5
90049,33523,-118.491244,34.091829,5
90056,8115,-118.370442,33.987945,5
90057,44004,-118.277939,34.061918,5
90058,3642,-118.222274,34.001617,5
90059,38128,-118.249826,33.927254,5
90061,24511,-118.274186,33.92128,5
90062,29299,-118.308933,34.003553,5
90063,55668,-118.185237,34.044271,5
90064,24505,-118.423573,34.037251,5
90065,47534,-118.229715,34.108833,5
90066,55204,-118.430656,34.002028,5
90067,2527,-118.413959,34.057496,5
90068,21728,-118.328915,34.137411,5
90069,20408,-118.381061,34.093781,5
90071,21,-118.255178,34.052917,5
90077,10470,-118.451629,34.102084,5
90201,105285,-118.171368,33.970343,5
90210,21397,-118.414338,34.099891,5
90211,8321,-118.383001,34.063947,5
90212,11355,-118.401508,34.062095,5
90220,47305,-118.234451,33.88151,5
90221,51387,-118.206459,33.885811,5
90222,29825,-118.236773,33.912246,5
90230,31963,-118.39704,33.993991,5
90232,15195,-118.391902,34.019323,5
90240,24908,-118.120993,33.956228,5
90241,40152,-118.128628,33.940884,5
90242,42459,-118.140588,33.921793,5
90245,16041,-118.401554,33.917145,5
90247,47758,-118.297967,33.890853,5
90248,9960,-118.284077,33.876482,5
90249,26442,-118.315697,33.90139,5
90250,93315,-118.348083,33.914775,5
90254,18693,-118.396336,33.86532,5
90255,78114,-118.217141,33.97803,5
90260,33300,-118.351813,33.88856,5
90262,69850,-118.200669,33.923573,5
90263,11,-118.705803,34.037037,5
90265,19630,-118.831181,34.074572,5
90266,33758,-118.39737,33.889632,5
90270,28094,-118.186565,33.988572,5
90272,22548,-118.548306,34.079449,5
90274,24979,-118.404955,33.788208,5
90275,41263,-118.367459,33.753146,5
90277,34191,-118.384565,33.830453,5
90278,37322,-118.37019,33.873395,5
90280,96267,-118.192615,33.944624,5
90290,5451,-118.61017,34.115192,5
90291,31021,-118.479229,33.991782,5
90292,18058,-118.445475,33.977468,5
90293,11264,-118.439841,33.947305,5
90301,37527,-118.358634,33.956445,5
90302,30779,-118.355252,33.975332,5
90303,27778,-118.332639,33.936291,5
90304,28680,-118.359824,33.936827,5
90305,13779,-118.330905,33.958134,5
90401,5221,-118.493231,34.015481,5
90402,11509,-118.503508,34.035849,5
90403,23559,-118.491156,34.031529,5
90404,19975,-118.474222,34.026334,5
90405,26099,-118.477507,34.005439,5
90501,40705,-118.314387,33.833699,5
90502,17058,-118.292062,33.833181,5
90503,41979,-118.353714,33.840399,5
90504,31678,-118.330794,33.867257,5
90505,34873,-118.347957,33.807882,5
90601,32050,-118.033683,34.007353,5
90602,26265,-118.020188,33.972119,5
90603,19109,-117.992066,33.945318,5
90604,37887,-118.01208,33.929704,5
90605,38181,-118.032222,33.960891,5
90606,32148,-118.065875,33.976678,5
90620,44442,-118.012204,33.845706,5
90621,33528,-117.993368,33.874224,5
90623,15505,-118.039892,33.850504,5
90630,47344,-118.038307,33.818477,5
90631,67354,-117.9513,33.940619,5
90638,47568,-118.008961,33.902045,5
90640,62425,-118.109962,34.015217,5
90650,103214,-118.08263,33.905963,5
90660,63288,-118.089299,33.989524,5
90670,16271,-118.062611,33.933565,5
90680,29694,-117.995068,33.801869,5
90701,16398,-118.080637,33.867593,5
90703,51556,-118.067402,33.8681,5
90704,3699,-118.421305,33.391181,5
90706,72893,-118.127289,33.887676,5
90710,24660,-118.300237,33.798266,5
90712,30173,-118.148403,33.840524,7
90713,27563,-118.112532,33.847755,5
90715,20890,-118.078097,33.841027,5
90716,14852,-118.074071,33.830431,5
90717,21065,-118.317354,33.794209,5
90720,21343,-118.065591,33.79499,5
90723,55306,-118.164432,33.897122,5
90731,58639,-118.284363,33.736387,5
90732,21279,-118.31448,33.744119,5
90740,24180,-118.071128,33.75462,5
90742,1107,-118.073596,33.719221,5
90743,174,-118.085304,33.728273,5
90744,53323,-118.262263,33.782068,5
90745,55486,-118.26411,33.822295,5
90746,25566,-118.252272,33.859171,5
90802,38427,-118.210737,33.752524,5
90803,31352,-118.129725,33.760458,5
90804,43467,-118.1486,33.783047,5
90805,91664,-118.179626,33.864622,5
90806,49647,-118.179971,33.802664,5
90807,31556,-118.182239,33.830099,5
90808,37417,-118.111335,33.823943,5
90810,35656,-118.222416,33.819814,5
90813,63136,-118.199049,33.781086,5
90814,19034,-118.143866,33.771612,5
90815,38902,-118.11662,33.797638,5
90822,425,-118.118648,33.778436,5
91001,36243,-118.142236,34.196837,5
91006,30028,-118.029837,34.137319,5
91007,30933,-118.047732,34.128284,5
91010,27414,-117.95982,34.145695,5
91011,20200,-118.153729,34.234912,5
91016,41067,-118.000482,34.1528,5
91020,7527,-118.230625,34.2112,5
91024,10558,-118.057505,34.168686,5
91030,23984,-118.156957,34.110444,5
91040,18752,-118.312929,34.282704,5
91042,26753,-118.244839,34.296574,5
91101,16812,-118.139225,34.146635,5
91103,27891,-118.165327,34.167465,5
91104,38460,-118.123752,34.165383,5
91105,10253,-118.166649,34.13946,5
91106,23742,-118.128658,34.139402,5
91107,32369,-118.087353,34.159007,5
91108,13158,-118.112911,34.122671,5
91201,23981,-118.289463,34.17051,5
91202,21990,-118.267539,34.167926,5
91203,14493,-118.262974,34.153338,5
91204,17015,-118.26036,34.136306,5
91205,41390,-118.245839,34.13658,5
91206,31297,-118.203869,34.162515,5
91207,9864,-118.262922,34.182378,5
91208,16910,-118.238508,34.195386,5
91214,29110,-118.245259,34.239636,5
91301,25303,-118.759788,34.129058,5
91302,23661,-118.68346,34.130861,5
91303,23519,-118.602203,34.19829,5
91304,49242,-118.632656,34.224377,5
91306,43857,-118.577563,34.209532,5
91307,23637,-118.68493,34.199787,5
91311,35325,-118.603883,34.294142,5
91316,27614,-118.518292,34.150354,5
91320,37779,-118.946262,34.172071,5
91321,30742,-118.504118,34.370378,5
